"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Ghana [GHA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","2203.558935","Ciffre de sources internationales",""
"Grenade [GRD]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","5.533209","Ciffre de sources internationales",""
"Grenade [GRD]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","9509.250006","Ciffre de sources internationales",""
"Groenland [GRL]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-9.927863","Ciffre de sources internationales",""
"Groenland [GRL]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","51820.897958","Ciffre de sources internationales",""
"Grèce [GRC]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","1.808175","Ciffre de sources internationales",""
"Grèce [GRC]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","20923.096364","Ciffre de sources internationales",""
"Guatemala [GTM]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","8.944269","Ciffre de sources internationales",""
"Guatemala [GTM]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","5324.132661","Ciffre de sources internationales",""
"Guinée [GIN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","28.917624","Ciffre de sources internationales",""
"Guinée [GIN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1504.133807","Ciffre de sources internationales",""
"Guinée équatoriale [GNQ]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-6.407346","Ciffre de sources internationales",""
"Guinée équatoriale [GNQ]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","7025.689752","Ciffre de sources internationales",""
"Guinée-Bissau [GNB]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-2.719445","Ciffre de sources internationales",""
"Guinée-Bissau [GNB]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","747.762697","Ciffre de sources internationales",""
"Guyana [GUY]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","82.092245","Ciffre de sources internationales",""
"Guyana [GUY]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","18199.47484","Ciffre de sources internationales",""
"Géorgie [GEO]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","32.58508","Ciffre de sources internationales",""
"Géorgie [GEO]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","6571.272835","Ciffre de sources internationales",""
"Haïti [HTI]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-2.703794","Ciffre de sources internationales",""
"Haïti [HTI]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1618.582427","Ciffre de sources internationales",""
"Honduras [HND]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","9.685329","Ciffre de sources internationales",""
"Honduras [HND]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","3040.17308","Ciffre de sources internationales",""
"Hongrie [HUN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-5.126263","Ciffre de sources internationales",""
"Hongrie [HUN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","17791.908977","Ciffre de sources internationales",""
"Inde [IND]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","8.401363","Ciffre de sources internationales",""
"Inde [IND]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","2445.390241","Ciffre de sources internationales",""
"Indonésie [IDN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","10.46979","Ciffre de sources internationales",""
"Indonésie [IDN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","4787.999308","Ciffre de sources internationales",""
"Iran (République islamique d') [IRN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","10.297191","Ciffre de sources internationales",""
"Iran (République islamique d') [IRN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","4495.146987","Ciffre de sources internationales",""
"Iraq [IRQ]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","24.447712","Ciffre de sources internationales",""
"Iraq [IRQ]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","5937.195471","Ciffre de sources internationales",""
"Irlande [IRL]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","2.950267","Ciffre de sources internationales",""
"Irlande [IRL]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","105993.272773","Ciffre de sources internationales",""
"Islande [ISL]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","8.890558","Ciffre de sources internationales",""
"Islande [ISL]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","75260.405234","Ciffre de sources internationales",""
"Israël [ISR]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","5.566971","Ciffre de sources internationales",""
"Israël [ISR]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","58086.357487","Ciffre de sources internationales",""
"Italie [ITA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-4.703354","Ciffre de sources internationales",""
"Italie [ITA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","34672.091141","Ciffre de sources internationales",""
"Jamaïque [JAM]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","16.661002","Ciffre de sources internationales",""
"Jamaïque [JAM]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","6047.216553","Ciffre de sources internationales",""
"Japon [JPN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-14.999378","Ciffre de sources internationales",""
"Japon [JPN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","34143.736546","Ciffre de sources internationales",""
"Jordanie [JOR]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","3.893666","Ciffre de sources internationales",""
"Jordanie [JOR]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","4204.559939","Ciffre de sources internationales",""
"Kazakhstan [KAZ]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","13.21141","Ciffre de sources internationales",""
"Kazakhstan [KAZ]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","11624.721733","Ciffre de sources internationales",""
"Kenya [KEN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","1.431994","Ciffre de sources internationales",""
"Kenya [KEN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","2099.298568","Ciffre de sources internationales",""
"Kirghizistan [KGZ]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","23.114499","Ciffre de sources internationales",""
"Kirghizistan [KGZ]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1648.509557","Ciffre de sources internationales",""
"Kiribati [KIR]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-3.430139","Ciffre de sources internationales",""
"Kiribati [KIR]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1704.394791","Ciffre de sources internationales",""
"Koweït [KWT]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","27.084262","Ciffre de sources internationales",""
"Koweït [KWT]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","41079.483209","Ciffre de sources internationales",""
